,lon,-90.7964
100000110,lat,32.3667
1000001100,lon,-86.6108
1000001101,lon,-87.0144
100000111,lat,32.0603
1000001110,lon,-85.0375
1000001111,lon,-85.1667
100001,lon,-87.15
1000010,lat,34.3061
10000100,lon,-89.0711
100001000,lat,33.5258
1000010000,lon,-90.0867
1000010001,lon,-90.0681
100001001,lat,33.7392
1000010010,lon,-88.3667
1000010011,lon,-88.7167
10000101,lon,-89.1597
100001010,lat,35.0264
1000010100,lon,-90.3683
1000010101,lon,-89.8036
100001011,lat,35.155
1000010110,lon,-88.3214
1000010111,lon,-88.5608
1000011,lat,34.3478
10000110,lon,-85.7789
100001100,lat,33.5333
1000011000,lon,-86.3431
1000011001,lon,-86.3333
100001101,lat,33.5972
1000011010,lon,-84.8178
1000011011,lon,-84.8486
10000111,lon,-85.8008
100001110,lat,35.1803
1000011100,lon,-86.7861
1000011101,lon,-86.9667
100001111,lat,34.9833
